tof(microsec),V,E
7035,0.18759,0.02724
7045,0.17295,0.02538
7055,0.18296,0.02724
7065,0.18332,0.0269
7075,0.17527,0.02747
7085,0.17661,0.02675
7095,0.18393,0.02821
7105,0.19991,0.02575
7115,0.18405,0.02632
7125,0.18686,0.02541
7135,0.18247,0.02715
7145,0.19027,0.02778
7155,0.18844,0.02598
7165,0.19332,0.02604
7175,0.18405,0.0265
7185,0.18491,0.02518
7195,0.18027,0.02441
7205,0.18405,0.02412
7215,0.18857,0.02432
7225,0.17661,0.02487
7235,0.18088,0.02532
7245,0.18174,0.02421
7255,0.17661,0.02581
7265,0.1743,0.02389
7275,0.17564,0.02572
7285,0.17393,0.02404
7295,0.16771,0.02518
7305,0.18076,0.0257
7315,0.1771,0.02284
7325,0.16942,0.02427
7335,0.17478,0.02524
7345,0.1743,0.02601
7355,0.16881,0.02352
7365,0.16942,0.02298
7375,0.17369,0.02467
7385,0.1743,0.02467
7395,0.17442,0.02361
7405,0.18357,0.02441
7415,0.16564,0.02472
7425,0.16478,0.02547
7435,0.16942,0.02498
7445,0.17039,0.02621
7455,0.17698,0.02469
7465,0.16478,0.02487
7475,0.16527,0.02469
7485,0.17369,0.0255
7495,0.1621,0.02429
7505,0.16734,0.02358
7515,0.16795,0.02538
7525,0.16978,0.02572
7535,0.17283,0.02492
7545,0.17247,0.02398
7555,0.16612,0.02429
7565,0.16869,0.02172
7575,0.16222,0.02307
7585,0.1671,0.02501
7595,0.16381,0.02249
7605,0.17027,0.02244
7615,0.16186,0.02307
7625,0.16588,0.02295
7635,0.16905,0.02367
7645,0.16551,0.02301
7655,0.17332,0.02264
7665,0.17283,0.02229
7675,0.16942,0.02304
7685,0.16893,0.02258
7695,0.16027,0.02441
7705,0.16222,0.02395
7715,0.15954,0.02407
7725,0.16295,0.02232
7735,0.15832,0.02187
7745,0.15868,0.02304
7755,0.1649,0.02275
7765,0.16368,0.02455
7775,0.1632,0.02155
7785,0.16161,0.02215
7795,0.15624,0.02207
7805,0.16649,0.02278
7815,0.15039,0.02215
7825,0.16234,0.02252
7835,0.15942,0.02295
7845,0.16186,0.02315
7855,0.15466,0.02149
7865,0.15246,0.02201
7875,0.15356,0.02241
7885,0.15356,0.02212
7895,0.15685,0.02241
7905,0.16088,0.02318
7915,0.16771,0.02029
7925,0.15173,0.02212
7935,0.15807,0.02209
7945,0.16161,0.02264
7955,0.15356,0.02258
7965,0.15417,0.02184
7975,0.1438,0.02155
7985,0.16112,0.02118
7995,0.15381,0.02152
8005,0.15466,0.02238
8015,0.15502,0.02112
8025,0.1521,0.01955
8035,0.15929,0.02184
8045,0.15978,0.02132
8055,0.15807,0.02332
8065,0.1549,0.02061
8075,0.14332,0.02081
8085,0.14722,0.02238
8095,0.15807,0.02095
8105,0.14832,0.02146
8115,0.15441,0.02158
8125,0.15588,0.02029
8135,0.14356,0.02055
8145,0.15356,0.01929
8155,0.14441,0.01926
8165,0.1582,0.02044
8175,0.14722,0.02041
8185,0.15344,0.01935
8195,0.14844,0.02024
8205,0.15368,0.02149
8215,0.14356,0.02121
8225,0.14661,0.02006
8235,0.14905,0.02006
8245,0.14905,0.01984
8255,0.14746,0.02006
8265,0.15039,0.01904
8275,0.15002,0.02004
8285,0.14417,0.02089
8295,0.14368,0.01975
8305,0.1488,0.01998
8315,0.14807,0.02046
8325,0.14258,0.01938
8335,0.14819,0.02089
8345,0.1449,0.02178
8355,0.14807,0.02192
8365,0.15002,0.02138
8375,0.14368,0.02204
8385,0.15198,0.02227
8395,0.1488,0.02218
8405,0.14868,0.02098
8415,0.14173,0.01969
8425,0.14441,0.02092
8435,0.14124,0.02035
8445,0.14673,0.02158
8455,0.14136,0.01892
8465,0.1399,0.02098
8475,0.15063,0.02001
8485,0.14368,0.02089
8495,0.14234,0.02207
8505,0.13624,0.02138
8515,0.14807,0.02378
8525,0.14807,0.02218
8535,0.15039,0.02364
8545,0.14173,0.02215
8555,0.14246,0.02158
8565,0.14027,0.02026
8575,0.13673,0.01926
8585,0.14295,0.01935
8595,0.14039,0.01946
8605,0.14173,0.01984
8615,0.1399,0.01829
8625,0.14075,0.02041
8635,0.1399,0.01929
8645,0.14136,0.02001
8655,0.15283,0.01972
8665,0.14149,0.01741
8675,0.14124,0.01929
8685,0.13563,0.01918
8695,0.141,0.01926
8705,0.14149,0.01809
8715,0.14417,0.01972
8725,0.13063,0.01878
8735,0.14283,0.01872
8745,0.13356,0.01969
8755,0.14185,0.01806
8765,0.13929,0.01932
8775,0.13722,0.01878
8785,0.13185,0.01838
8795,0.1399,0.02006
8805,0.13856,0.01844
8815,0.1349,0.01892
8825,0.13807,0.01926
8835,0.13502,0.01821
8845,0.14088,0.01981
8855,0.13551,0.01775
8865,0.13429,0.01898
8875,0.14661,0.01998
8885,0.14417,0.01804
8895,0.13405,0.01881
